Pos,Name,BV,SV,Team,37_xMins,37_Pts
D,Ivanovic,4.4,4.4,West Brom,0,0
M,Thiago,5.5,5.5,Liverpool,72,2.57
G,Caprile,4.0,4.0,Leeds,0,0
M,Bogusz,4.3,4.3,Leeds,0,0
D,Inniss,4.0,4.0,Crystal Palace,0,0
M,Benson,4.4,4.4,Burnley,1,0.034
D,Driscoll-Glennon,3.9,3.9,Burnley,1,0.019
M,Bernabé,4.5,4.5,Man City,0,0
G,Steffen,4.4,4.4,Man City,0,0
F,Delap,4.2,4.3,Man City,0,0
M,Traoré,5.8,5.8,Aston Villa,66,2.674
M,Ünder,5.7,5.7,Leicester,2,0.082
D,Reguilón,5.6,5.6,Spurs,79,3.43
M,Bale,9.2,9.2,Spurs,57,3.325
M,Gallagher,5.5,5.5,West Brom,64,2.073
D,Hoever,4.4,4.4,Wolves,7,0.192
D,Semedo,5.2,5.2,Wolves,71,2.02
G,Rúnarsson,4.4,4.4,Arsenal,0,0
G,Mendy,5.2,5.2,Chelsea,88,3.986
D,Llorente,4.4,4.4,Leeds,69,2.134
M,Molumby,4.5,4.5,Brighton,0,0
M,Goodridge,4.5,4.5,Burnley,0,0
M,Palmer,4.4,4.4,Man City,0,0
M,Shabani,4.4,4.4,Wolves,0,0
M,Ramsey,4.5,4.5,Aston Villa,25,0.909
M,Krovinovic,4.9,4.9,West Brom,0,0
D,Dias,6.0,6.0,Man City,60,2.743
M,Lookman,4.8,4.8,Fulham,77,2.92
D,Coufal,4.8,4.8,West Ham,72,3.319
D,Nkounkou,4.0,4.0,Everton,0,0
G,Kelleher,4.5,4.5,Liverpool,1,0.045
D,Fofana,5.0,5.0,Leicester,77,2.02
D,Aina,4.4,4.4,Fulham,56,1.179
D,Ait Nouri,5.0,5.0,Wolves,70,1.919
F,Carlos Vinicius,6.9,6.9,Spurs,7,0.387
M,Diallo,4.5,4.5,Southampton,57,1.724
D,Godfrey,5.0,5.0,Everton,79,3.285
M,Partey,4.9,4.9,Arsenal,32,1.095
D,Telles,5.3,5.3,Man Utd,7,0.382
F,Cavani,8.0,8.0,Man Utd,35,2.245
M,Raphinha,5.5,5.4,Leeds,80,4.087
D,Andersen,4.5,4.5,Fulham,85,1.656
D,Adarabioyo,4.5,4.5,Fulham,84,1.687
G,Olsen,4.5,4.5,Everton,2,0.089
F,Zeqiri,5.0,5.0,Brighton,12,0.488
M,Pellistri,5.2,5.2,Man Utd,0,0
D,Dawson,4.5,4.5,West Ham,63,2.681
D,Clyne,4.5,4.5,Crystal Palace,10,0.269
G,Henderson,4.0,4.0,Crystal Palace,0,0
F,Slimani,4.9,4.9,Leicester,0,0
G,Verrips,4.0,4.0,Sheffield Utd,0,0
M,Otasowie,4.5,4.5,Wolves,6,0.212
F,Grant,5.6,5.6,West Brom,3,0.145
G,Norris,4.0,4.0,Burnley,0,0
D,Rodon,5.0,5.0,Spurs,21,0.802
D,Kongolo,4.3,4.3,Fulham,0,0
G,Butland,4.5,4.5,Crystal Palace,0,0
M,Benrahma,5.9,5.9,West Ham,55,2.997
F,Welbeck,5.5,5.5,Brighton,73,2.864
D,Phillips,4.1,4.0,Liverpool,83,3.568
F,N'Lundulu,4.5,4.5,Southampton,0,0
F,Thompson,4.5,4.5,Burnley,0,0
F,Richardson,4.5,4.5,Burnley,0,0
G,Ziger,4.0,4.0,Chelsea,0,0
D,Rhys Williams,4.0,4.0,Liverpool,24,1.06
G,Trafford,4.0,4.0,Man City,0,0
F,Simms,4.5,4.5,Everton,0,0
G,Sánchez,4.6,4.6,Brighton,88,3.226
D,Ramsay,4.0,4.0,Southampton,1,0.031
M,Jenkins,4.5,4.5,Leeds,0,0
D,Peltier,3.9,3.9,West Brom,2,0.046
M,Clarkson,4.5,4.5,Liverpool,0,0
M,Anderson,4.5,4.5,Newcastle,0,0
D,Bryan,3.9,3.9,Sheffield Utd,44,1.19
G,Grant,4.0,4.0,Man Utd,0,0
M,Anjorin,4.5,4.5,Chelsea,0,0
G,Langley,3.9,3.9,Newcastle,0,0
M,Cain,4.5,4.5,Liverpool,0,0
G,Carson,3.9,3.9,Man City,0,0
M,Nmecha,4.5,4.5,Man City,0,0
M,Corbeanu,4.4,4.4,Wolves,1,0.038
M,Perry,4.4,4.4,Wolves,1,0.038
M,Mancini,4.4,4.4,Burnley,1,0.035
F,Mumbongo,4.5,4.5,Burnley,0,0
M,Cundle,4.5,4.5,Wolves,1,0.038
D,Richards,4.0,4.0,Wolves,0,0
D,Marques,3.9,3.9,Wolves,0,0
G,Söndergaard,4.0,4.0,Wolves,0,0
F,Hackford,4.4,4.4,Sheffield Utd,0,0
F,Huggins,4.5,4.5,Leeds,0,0
D,Cresswell,4.0,4.0,Leeds,1,0.031
F,Diaby,4.5,4.5,West Brom,0,0
D,Mbete,4.0,4.0,Man City,0,0
D,Harwood-Bellis,4.0,4.0,Man City,0,0
M,Chauke,4.4,4.4,Southampton,0,0
G,Lewis,4.0,4.0,Southampton,0,0
F,Cutrone,5.9,5.9,Wolves,0,0
M,Tau,4.9,4.9,Brighton,3,0.125
M,Moder,5.0,5.0,Brighton,55,1.767
D,Lonwijk,3.9,3.9,Wolves,0,0
M,Khadra,4.5,4.5,Brighton,1,0.036
M,Jenks,4.5,4.5,Brighton,1,0.036
M,Sanders,4.5,4.5,Brighton,0,0
M,Weir,4.5,4.5,Brighton,1,0.035
M,Ferry,4.5,4.5,Southampton,0,0
D,Tchaptchet,4.0,4.0,Southampton,2,0.062
M,Watts,4.5,4.5,Southampton,0,0
D,Alves,4.0,4.0,West Ham,0,0
F,Odubeko,4.5,4.5,West Ham,0,0
G,Lonergan,4.0,4.0,West Brom,0,0
M,Diallo,5.4,5.4,Man Utd,12,0.671
F,Mateta,5.4,5.4,Crystal Palace,5,0.266
F,Willian José,6.8,6.8,Wolves,44,1.883
M,Jankewitz,4.5,4.5,Southampton,1,0.041
M,Onyango,4.5,4.5,Everton,0,0
M,Ødegaard,5.7,5.7,Arsenal,52,2.505
D,Gordon,4.0,4.0,Sheffield Utd,0,0
M,Sanson,5.5,5.5,Aston Villa,15,0.55
F,Diagne,6.0,6.0,West Brom,69,3.02
D,Bueno,4.0,4.0,Wolves,0,0
M,Devine,4.4,4.4,Spurs,0,0
F,King,5.1,5.1,Everton,11,0.522
D,Kabak,5.0,5.0,Liverpool,52,2.304
D,Davies,4.7,4.7,Liverpool,0,0
M,Yokuslu,4.5,4.5,West Brom,79,2.228
M,Finnigan,4.5,4.5,Southampton,0,0
M,Ndiaye,4.5,4.5,Sheffield Utd,0,0
M,Brunt,4.5,4.5,Sheffield Utd,0,0
D,Nartey,4.0,4.0,Burnley,2,0.039
M,Gomes,4.5,4.5,Man City,0,0
D,Daley-Campbell,4.0,4.0,Leicester,0,0
M,Leshabela,4.4,4.4,Leicester,0,0
G,McGill,3.9,3.9,Brighton,0,0
D,Karbownik,4.5,4.5,Brighton,8,0.192
M,Caicedo,5.0,5.0,Brighton,1,0.036
F,Maja,5.1,5.1,Fulham,43,1.791
F,Scarlett,4.5,4.5,Spurs,0,0
F,Gelhardt,4.5,4.5,Leeds,0,0
