Pos,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
M,Zinckernagel,5.5,5.5,Watford,0,0,0,0,0,0,0,0,0,0
F,Success,5.0,5.0,Watford,0,0,0,0,0,0,0,0,1,0.046
M,Dele-Bashiru,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0
F,Fletcher,5.0,5.0,Watford,0,0,0,0,0,0,0,0,0,0
D,Sierralta,4.4,4.4,Watford,3,0.067,6,0.204,5,0.16,6,0.23,7,0.156
M,Quina,4.5,4.5,Watford,5,0.166,5,0.186,4,0.148,6,0.237,5,0.176
D,Navarro,4.0,4.0,Watford,0,0,0,0,1,0.034,2,0.081,1,0.025
M,Sarr,6.0,6.0,Watford,85,3.106,82,3.852,80,3.737,80,4.217,78,3.321
D,Ngakia,4.5,4.5,Watford,12,0.268,14,0.486,15,0.478,14,0.525,17,0.38
D,Wilmot,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0
M,Hungbo,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0
M,Louza,5.4,5.4,Watford,27,0.865,20,0.747,16,0.588,20,0.803,20,0.704
F,João Pedro,5.4,5.4,Watford,0,0,0,0,0,0,0,0,0,0
M,Baah,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0
M,Noble,4.5,4.5,West Ham,8,0.373,12,0.508,18,0.691,18,0.753,21,0.987
G,Randolph,4.5,4.5,West Ham,0,0,0,0,0,0,0,0,0,0
G,Fabianski,5.0,5.0,West Ham,88,4.103,87,3.534,87,3.314,87,3.285,87,3.885
D,Ogbonna,5.0,5.0,West Ham,89,4.041,87,2.794,83,2.187,81,2.144,81,3.46
D,Reid,4.0,4.0,West Ham,0,0,0,0,0,0,1,0.028,0,0
D,Cresswell,5.5,5.5,West Ham,84,4.619,81,3.215,78,2.481,75,2.475,74,3.841
M,Yarmolenko,5.4,5.4,West Ham,19,1.071,25,1.258,27,1.211,29,1.432,33,1.86
F,Antonio,7.7,7.6,West Ham,84,5.093,80,4.372,79,3.788,78,4.243,76,4.649
D,Dawson,5.0,5.0,West Ham,88,4.481,84,3.08,83,2.458,81,2.475,80,3.815
D,Fredericks,4.5,4.5,West Ham,1,0.046,5,0.169,5,0.14,6,0.171,8,0.351
M,Lanzini,5.9,5.9,West Ham,11,0.533,11,0.492,13,0.539,14,0.62,17,0.855
D,Masuaku,4.5,4.5,West Ham,5,0.232,8,0.268,11,0.307,13,0.366,13,0.574
D,Coufal,5.0,5.0,West Ham,88,4.181,84,2.818,84,2.301,83,2.293,81,3.619
M,Benrahma,6.2,6.2,West Ham,81,4.343,79,3.744,77,3.191,76,3.511,74,3.973
M,Bowen,6.5,6.5,West Ham,78,4.308,75,3.684,73,3.174,74,3.575,71,3.997
M,Rice,5.0,5.0,West Ham,88,3.247,85,2.775,83,2.515,81,2.602,82,3.023
M,Soucek,6.0,6.0,West Ham,87,3.622,85,3.115,82,2.741,82,2.947,80,3.342
M,Fornals,6.0,6.0,West Ham,80,3.699,79,3.234,76,2.805,73,2.938,72,3.335
D,Diop,4.5,4.5,West Ham,2,0.089,5,0.162,10,0.273,14,0.385,15,0.621
D,Johnson,4.0,4.0,West Ham,0,0,0,0,0,0,0,0,1,0.043
M,Moutinho,5.0,5.0,Wolves,80,2.484,79,2.835,76,2.952,76,2.617,76,3.075
G,Patrício,5.0,5.0,Wolves,0,0,0,0,0,0,0,0,0,0
D,Boly,4.9,4.9,Wolves,25,0.639,73,2.806,76,3.244,75,2.453,75,3.27
D,Coady,4.5,4.5,Wolves,88,2.046,85,3.091,83,3.325,84,2.526,81,3.288
F,Jiménez,7.4,7.4,Wolves,83,3.701,81,4.403,79,4.653,77,4.066,76,4.819
D,Saïss,5.0,5.0,Wolves,81,2.067,71,2.856,68,3.065,71,2.365,67,3.116
D,Marçal,4.5,4.5,Wolves,78,1.957,75,2.943,73,3.199,71,2.319,72,3.223
D,Jonny,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,0,0
M,Dendoncker,5.0,5.0,Wolves,16,0.514,16,0.572,18,0.734,19,0.7,18,0.749
M,Traoré,6.0,6.0,Wolves,84,2.98,81,3.372,79,3.505,79,3.109,77,3.603
M,Neves,5.5,5.5,Wolves,84,2.579,80,2.886,80,3.134,79,2.74,79,3.25
D,Semedo,5.0,5.0,Wolves,85,2.192,81,3.253,80,3.578,76,2.527,77,3.513
M,Podence,5.5,5.5,Wolves,0,0,0,0,0,0,0,0,0,0
D,Kilman,4.5,4.5,Wolves,60,1.495,29,1.14,29,1.262,28,0.913,31,1.38
M,Gibbs-White,4.5,4.5,Wolves,5,0.175,6,0.242,8,0.34,7,0.272,10,0.438
M,Neto,6.5,6.5,Wolves,0,0,0,0,0,0,0,0,0,0
M,Otasowie,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,0,0
D,Hoever,4.0,4.0,Wolves,4,0.101,7,0.263,8,0.331,12,0.409,10,0.421
G,Söndergaard,4.0,4.0,Wolves,0,0,0,0,0,0,0,0,0,0
F,Fabio Silva,6.0,6.0,Wolves,14,0.625,18,0.904,21,1.099,23,1.106,22,1.2
D,Mosquera,4.5,4.5,Wolves,7,0.173,9,0.332,11,0.456,9,0.289,13,0.55
F,Welbeck,6.0,6.0,Brighton,0,0,25,1.081,48,2.157,62,2.845,61,2.789
G,Gunn,4.0,4.0,Norwich,0,0,0,0,1,0.043,0,0,2,0.079
M,Rashica,5.5,5.5,Norwich,72,2.889,72,2.659,68,3.355,68,2.589,66,2.767
F,Dennis,5.1,5.0,Watford,65,2.263,65,2.738,65,2.747,65,3.019,65,2.585
D,Collins,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0
G,Ruddy,4.5,4.5,Wolves,0,0,1,0.043,1,0.045,1,0.04,2,0.089
M,Fernandinho,5.0,5.0,Man City,4,0.148,6,0.206,7,0.278,6,0.188,8,0.253
D,Pollock,4.0,4.0,Watford,0,0,0,0,0,0,0,0,0,0
F,Daka,7.4,7.4,Leicester,10,0.577,10,0.442,12,0.588,11,0.695,13,0.71
D,Gibson,4.5,4.5,Norwich,79,1.915,76,1.602,74,2.855,73,1.616,72,2.153
D,Giannoulis,4.5,4.5,Norwich,86,2.207,82,1.806,81,3.273,81,1.879,77,2.405
M,Soumaré,5.0,5.0,Leicester,9,0.312,15,0.463,15,0.492,15,0.561,15,0.537
M,Mata,5.0,5.0,Man Utd,0,0,0,0,0,0,0,0,0,0
D,Perraud,5.0,5.0,Southampton,87,3.279,83,2.897,82,1.019,82,3.5,79,1.418
M,Trincão,5.9,5.9,Wolves,75,2.982,72,3.504,71,3.706,70,3.242,69,3.822
M,Mwepu,5.9,5.9,Brighton,54,1.83,40,1.347,30,1.019,27,0.952,29,1.009
D,Firpo,5.0,5.0,Leeds,51,2.036,49,1.179,48,1.821,51,1.888,51,2.572
M,Olise,5.5,5.5,Crystal Palace,0,0,14,0.513,28,0.888,42,1.59,38,1.414
D,Fernández,4.5,4.5,Newcastle,78,2.612,74,1.096,75,2.177,72,2.345,69,1.902
D,Tavares,4.5,4.5,Arsenal,31,0.523,18,0.866,20,0.821,18,0.628,18,0.617
M,Etebo,4.5,4.5,Watford,65,1.804,58,1.895,60,1.942,58,2.018,59,1.787
F,King,5.5,5.5,Watford,57,2.187,56,2.635,59,2.777,59,3.103,56,2.456
F,Mebude,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0
D,Ait Nouri,4.4,4.4,Wolves,15,0.387,19,0.798,21,0.999,24,0.848,23,1.128
M,Lees-Melou,5.0,5.0,Norwich,27,1.051,26,0.949,28,1.265,30,1.105,30,1.201
F,Cucho,5.0,5.0,Watford,23,0.908,20,0.949,22,1.045,23,1.207,23,1.03
D,Bertrand,4.9,4.9,Leicester,0,0,0,0,0,0,2,0.098,1,0.043
D,Ward,4.5,4.5,Crystal Palace,88,2.006,84,2.097,84,1.021,83,2.721,83,2.143
G,Sá,5.0,5.0,Wolves,89,3.299,88,3.797,88,3.932,87,3.502,87,3.887
G,Scherpen,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,Guéhi,4.5,4.5,Crystal Palace,84,1.965,83,2.12,81,1.036,79,2.644,78,2.06
M,Sambi Lokonga,5.0,5.0,Arsenal,86,2.042,61,2.157,41,1.335,27,0.87,26,0.816
M,Onyeka,5.0,5.0,Brentford,62,1.981,65,2.123,62,1.939,63,1.849,64,1.94
G,Hennessey,4.5,4.5,Burnley,0,0,0,0,1,0.04,1,0.036,3,0.134
G,Begović,4.0,4.0,Everton,0,0,2,0.094,2,0.079,2,0.092,3,0.108
M,Townsend,5.5,5.5,Everton,62,2.288,58,2.645,57,2.186,59,2.81,58,1.944
D,Ajer,4.5,4.5,Brentford,82,2.282,78,2.722,78,2.33,78,1.641,76,1.819
M,Gray,5.5,5.5,Everton,55,2.129,54,2.578,57,2.263,56,2.81,50,1.743
M,Sancho,9.3,9.3,Man Utd,45,2.62,75,5.19,75,4.01,75,4.78,75,4.61
G,Gollini,4.5,4.5,Spurs,0,0,1,0.045,2,0.078,2,0.08,2,0.088
M,Bryan,5.9,5.9,Spurs,0,0,1,0.052,1,0.041,1,0.045,2,0.108
D,Andersen,4.5,4.5,Crystal Palace,85,2.02,82,2.128,82,1.049,81,2.749,80,2.146
G,Areola,5.0,5.0,West Ham,1,0.046,2,0.081,1,0.038,3,0.113,2,0.089
G,Klaesson,4.5,4.5,Leeds,0,0,1,0.036,1,0.04,2,0.078,2,0.087
D,Livramento,4.0,4.0,Southampton,81,2.621,78,2.37,78,0.82,76,2.841,75,1.194
M,Bailey,6.5,6.5,Aston Villa,51,2.659,65,2.253,67,3.328,67,2.467,64,2.543
D,Clyne,4.5,4.5,Crystal Palace,0,0,0,0,1,0.015,0,0,0,0
D,Romero,5.0,5.0,Spurs,0,0,0,0,0,0,0,0,0,0
M,Kucka,5.5,5.5,Watford,27,0.823,31,1.105,30,1.067,30,1.151,30,0.995
M,Philogene-Bidace,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Thompson,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,1,0.026
M,Baptiste,5.0,5.0,Brentford,0,0,0,0,0,0,1,0.032,0,0
F,Andone,5.0,5.0,Brighton,0,0,0,0,0,0,1,0.049,0,0
D,Sarr,5.0,5.0,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Kenny,4.5,4.5,Everton,1,0.033,1,0.046,2,0.062,3,0.137,3,0.066
M,Gordon,4.5,4.5,Everton,0,0,1,0.048,3,0.123,2,0.1,2,0.073
M,Gbamin,4.5,4.5,Everton,2,0.064,3,0.106,2,0.064,4,0.146,5,0.15
M,Dewsbury-Hall,4.5,4.5,Leicester,0,0,0,0,0,0,0,0,0,0
M,Elliott,5.5,5.5,Liverpool,20,0.753,14,0.623,14,0.732,17,0.781,17,0.647
M,Palmer,4.5,4.5,Man City,0,0,0,0,0,0,0,0,0,0
M,Edozie,5.0,5.0,Man City,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.0,4.0,Man Utd,0,0,0,0,0,0,0,0,0,0
D,Dalot,4.5,4.5,Man Utd,0,0,0,0,0,0,0,0,0,0
M,Pereira,5.0,5.0,Man Utd,0,0,0,0,0,0,0,0,0,0
M,Elanga,5.0,5.0,Man Utd,0,0,0,0,0,0,0,0,0,0
G,Woodman,4.5,4.5,Newcastle,89,3.61,89,3.157,88,3.365,88,3.572,87,3.297
G,Gillespie,4.0,4.0,Newcastle,0,0,0,0,1,0.038,1,0.041,2,0.076
D,Mumba,4.0,4.0,Norwich,1,0.025,2,0.044,2,0.075,2,0.046,8,0.24
F,Sargent,5.5,5.5,Norwich,0,0,0,0,0,0,0,0,0,0
M,Elyounoussi,5.5,5.5,Southampton,0,0,0,0,0,0,0,0,0,0
F,Broja,5.0,5.0,Southampton,0,0,0,0,0,0,0,0,0,0
F,Long,5.5,5.5,Southampton,2,0.1,3,0.15,4,0.15,2,0.1,5,0.19
F,Scarlett,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0
D,Alves,4.0,4.0,West Ham,0,0,0,0,0,0,0,0,0,0
M,Coventry,4.5,4.5,West Ham,0,0,0,0,0,0,0,0,0,0
F,Cutrone,5.0,5.0,Wolves,0,0,0,0,0,0,0,0,0,0
M,Wissa,6.0,6.0,Brentford,0,0,0,0,0,0,0,0,0,0
F,A.Armstrong,6.0,6.0,Southampton,84,4.305,81,4.125,79,2.66,78,3.978,78,2.696
M,Chukwuemeka,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Chalobah,5.0,5.0,Chelsea,5,0.166,6,0.309,8,0.322,6,0.211,8,0.432
M,Tzolis,5.0,5.0,Norwich,0,0,0,0,0,0,0,0,0,0
F,Lukaku,11.5,11.5,Chelsea,82,4.176,81,5.789,80,4.416,79,3.977,78,5.991
F,Balogun,5.0,5.0,Arsenal,4,0.16,2,0.123,3,0.163,2,0.11,3,0.146
M,Nelson,5.0,5.0,Arsenal,3,0.109,2,0.112,2,0.095,2,0.094,2,0.085
G,Hein,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Richardson,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0
D,Thomas,4.0,4.0,Burnley,0,0,0,0,0,0,0,0,0,0
F,Zeqiri,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,Karbownik,4.0,4.0,Brighton,0,0,0,0,0,0,0,0,0,0
M,Richards,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
M,Caicedo,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,Emerson,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Hannam,4.0,4.0,Crystal Palace,0,0,0,0,0,0,0,0,0,0
M,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0
F,Street,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0
M,Banks,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0
D,Branthwaite,4.0,4.0,Everton,0,0,0,0,0,0,0,0,1,0.022
F,Broadhead,4.5,4.5,Everton,0,0,0,0,0,0,0,0,0,0
D,Valery,4.0,4.0,Southampton,0,0,0,0,1,0.013,0,0,2,0.035
M,Cundle,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,0,0
M,Campbell,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,0,0
D,Marques,4.0,4.0,Wolves,0,0,0,0,0,0,0,0,0,0
F,Greenwood,4.5,4.5,Leeds,0,0,0,0,0,0,0,0,0,0
M,Summerville,4.5,4.5,Leeds,0,0,0,0,0,0,0,0,0,0
M,Forshaw,4.5,4.5,Leeds,0,0,0,0,0,0,0,0,0,0
M,Woodburn,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0
D,Baptiste,4.0,4.0,West Ham,0,0,0,0,0,0,0,0,0,0
D,Varane,5.5,5.5,Man Utd,78,3.474,77,4.09,76,2.813,80,3.812,78,3.677
G,Fernández,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0
F,Roberts,99.9,99.9,Man City,0,0,0,0,0,0,0,0,0,0
M,Herrera,99.9,99.9,Man City,0,0,0,0,0,0,0,0,0,0
D,Zappacosta,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0
M,Baker,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0
M,Musonda Jr.,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Miazga,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Baba,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0
M,Bakayoko,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0
M,Drinkwater,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Carter-Vickers,99.9,99.9,Spurs,0,0,0,0,0,0,0,0,0,0
F,Clarke,99.9,99.9,Spurs,0,0,0,0,0,0,0,0,0,0
F,Percy Tau,99.9,99.9,Brighton,10,0.494,4,0.187,2,0.098,1,0.05,2,0.099
G,Walton,99.9,99.9,Brighton,0,0,0,0,0,0,0,0,0,0
D,van Hecke,99.9,99.9,Brighton,0,0,0,0,1,0.034,1,0.04,2,0.075
M,Baluta,99.9,99.9,Brighton,0,0,0,0,0,0,0,0,0,0
F,Locadia,99.9,99.9,Brighton,11,0.54,3,0.139,2,0.096,1,0.049,2,0.097
G,Lewis,99.9,99.9,Southampton,0,0,0,0,0,0,0,0,0,0
M,Stevens,99.9,99.9,Leeds,0,0,0,0,0,0,0,0,0,0
F,Gelhardt,99.9,99.9,Leeds,1,0.05,1,0.044,1,0.051,1,0.052,1,0.055
M,Gotts,99.9,99.9,Leeds,0,0,0,0,0,0,0,0,0,0
F,Valencia,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0
D,Jeanvier,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0
D,Racic,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0
D,Stevens,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0
G,Karius,99.9,99.9,Liverpool,0,0,0,0,0,0,0,0,0,0
F,Sheyi Ojo,99.9,99.9,Liverpool,0,0,0,0,0,0,0,0,0,0
D,Jones,99.9,99.9,Man Utd,0,0,0,0,0,0,0,0,0,0
F,Diallo,99.9,99.9,Man Utd,0,0,0,0,0,0,0,0,0,0
G,Lee Grant,99.9,99.9,Man Utd,0,0,0,0,0,0,0,0,0,0
G,Jakupovic,99.9,99.9,Leicester,0,0,0,0,0,0,0,0,0,0
D,Benkovic,99.9,99.9,Leicester,0,0,0,0,0,0,0,0,0,0
D,Nkounkou,99.9,99.9,Everton,0,0,0,0,0,0,0,0,1,0.022
F,Tosun,99.9,99.9,Everton,1,0.049,1,0.059,1,0.051,1,0.063,1,0.044
F,Kean,99.9,99.9,Everton,5,0.24,7,0.39,9,0.441,6,0.359,9,0.381
D,Buur,99.9,99.9,Wolves,0,0,0,0,0,0,0,0,0,0
M,Jordão,99.9,99.9,Wolves,0,0,0,0,0,0,0,0,1,0.037
F,Rafa Mir,99.9,99.9,Wolves,1,0.049,2,0.12,2,0.123,2,0.112,3,0.195
M,Ronan,99.9,99.9,Wolves,0,0,0,0,0,0,0,0,0,0
G,Martin,99.9,99.9,West Ham,0,0,0,0,0,0,0,0,0,0
F,Xande Silva,99.9,99.9,West Ham,0,0,0,0,0,0,0,0,0,0
M,Sibo,99.9,99.9,Watford,0,0,0,0,0,0,0,0,0,0
G,Elliot,99.9,99.9,Watford,0,0,0,0,0,0,0,0,0,0
D,Bushiri,99.9,99.9,Norwich,0,0,3,0.067,0,0,0,0,0,0
M,Trybull,99.9,99.9,Norwich,23,0.687,25,0.72,23,0.759,24,0.698,26,0.792
G,Oxborough,99.9,99.9,Norwich,0,0,0,0,0,0,0,0,0,0
D,Klose,99.9,99.9,Norwich,0,0,0,0,0,0,0,0,0,0
M,Sitti,99.9,99.9,Norwich,0,0,0,0,0,0,0,0,0,0
M,Clarke,99.9,99.9,Norwich,0,0,0,0,0,0,0,0,0,0
G,Matthews,99.9,99.9,Crystal Palace,0,0,1,0.037,0,0,0,0,1,0.038
G,Carson,99.9,99.9,Man City,0,0,0,0,0,0,0,0,0,0
M,Peart-Harris,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0
G,Bettinelli,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Simeu,99.9,99.9,Southampton,0,0,0,0,0,0,0,0,0,0
D,McQueen,99.9,99.9,Southampton,0,0,0,0,0,0,0,0,0,0
M,Tufan,99.9,99.9,Watford,0,0,0,0,0,0,0,0,0,0
M,Ødegaard,5.5,5.5,Arsenal,39,1.284,60,3.143,61,2.694,58,2.488,61,2.411
